BranchID,BranchName,Address,City,State,ZipCode,ManagerID,OpeningDate,EmployeeCount
1,North Judithbury Branch,18196 Anthony Forge,New Carolyn,TX,74064,,2009-05-11,18
2,Robinsonshire Branch,26542 Susan Junction Apt. 161,Melanieview,PA,06196,,2018-05-23,46
3,Herrerafurt Branch,495 Janet Cape,Port Keith,NY,10959,,2020-07-11,32
4,Port Craig Branch,5255 Elizabeth Squares Apt. 928,East Steven,TX,35883,,2016-11-11,26
5,Lake Mark Branch,05641 Robin Port,Jasonfort,MI,52357,,2016-11-29,69
6,Thomasberg Branch,884 Hurst Locks,Jeffreyberg,CA,67285,,2014-05-16,18
7,Port Brandonville Branch,269 Paul Ranch,Riceside,TX,02005,,2017-07-20,42
8,Lake Nicoleview Branch,46270 Stanton Track Apt. 814,East Nathaniel,NY,21675,,2015-02-25,79
9,New Mariotown Branch,4303 Christopher Oval,Port Amandaberg,MI,17329,,2017-03-14,18
10,Arroyoburgh Branch,963 Jennifer Locks Suite 787,East Jeffreymouth,NC,03258,,2015-12-26,40
11,New Jeffrey Branch,031 Michele Cliffs,West Elizabeth,NC,28581,,2015-02-24,68
12,Lake Selena Branch,76311 Gomez Loop Suite 010,Chandlerville,NY,33092,,2009-03-27,72
13,New Shane Branch,47317 Brent Plains Apt. 132,Tuckerborough,MI,53066,,2006-12-22,50
14,South Aaron Branch,7468 Moore Hill Apt. 098,Lake Leeton,CA,77070,,2014-02-01,35
15,North Susan Branch,19136 Shelly Port,New Brooke,OH,81684,,2007-05-16,58
16,Sandovalshire Branch,3534 Anderson Rue Suite 751,South Christineshire,PA,13605,,2007-03-23,34
17,New Joseph Branch,35427 Carr Valley Apt. 841,West Darrell,NY,14530,,2018-08-10,58
18,West Juan Branch,534 King Vista,North Cynthiaview,TX,06279,,2006-01-14,26
19,Kellieview Branch,786 Daniel Spurs,New Barry,OH,48894,,2015-11-20,27
20,South David Branch,0533 Michael Points Suite 923,Port Lisa,IL,54541,,2006-05-26,59
21,Lake Sandra Branch,342 Patrick Camp Suite 337,Kevinbury,MI,29720,,2006-05-19,48
22,South Mark Branch,5868 Crosby Crescent,Gregoryview,CA,05515,,2007-10-27,73
23,Reedmouth Branch,816 Jonathan Station Suite 088,West Ryan,NC,87563,,2011-08-05,30
24,Elizabethville Branch,465 Terry Plaza Apt. 366,New Ashley,OH,53726,,2015-04-19,25
25,West Justinchester Branch,7738 Leon Underpass Apt. 148,Clarencebury,NC,88685,,2011-04-04,52
26,Port James Branch,37917 Mercado Ports,Lake Heather,MI,65300,,2012-10-10,61
27,East Diana Branch,63287 Angela Vista,South Dennismouth,MI,88001,,2015-01-05,39
28,Stephaniemouth Branch,727 Green Gateway Suite 873,Scottport,TX,31236,,2010-08-07,20
29,Luisside Branch,23623 Robert Isle,Perryborough,NY,55570,,2012-08-08,52
30,Port Nicoleshire Branch,0546 Medina Street Apt. 734,Tuckerfurt,TX,44558,,2017-05-10,44
31,Ramseymouth Branch,806 Christopher Meadow,Port Steven,TX,07091,,2010-05-27,63
32,Murphymouth Branch,6464 Thomas Summit Apt. 531,Port Anthonybury,PA,26631,,2020-04-02,73
33,New Elijahberg Branch,193 Lyons Trafficway Suite 299,Port Loriport,IL,14669,,2015-10-27,35
34,West Barbarafurt Branch,319 Curtis Trail Suite 919,West Amandastad,IL,09539,,2014-08-01,60
35,Alexanderchester Branch,65726 Jessica Run Suite 987,Grahamshire,NY,35680,,2011-06-17,49
36,Port Sarah Branch,3799 Rogers Park Suite 273,Laurenmouth,TX,37156,,2020-12-14,36
37,Angelahaven Branch,36783 Brewer Overpass,Mcguireland,NC,39067,,2009-09-29,46
38,Holtport Branch,8856 Bell Motorway Suite 443,Lake Jamesville,FL,97871,,2015-02-03,74
39,East Javier Branch,9894 Marissa Hill Apt. 524,Lake Amandaview,OH,06466,,2006-11-26,49
40,Heidiberg Branch,09477 Peterson Center Suite 711,Vasquezshire,NC,83003,,2017-08-27,43
41,East Edwardshire Branch,31869 Kimberly Light Suite 749,Torreston,IL,80406,,2018-07-26,22
42,Port Jaredborough Branch,123 Andrea Estate Apt. 679,Carterbury,NY,38263,,2018-01-01,19
43,Jacquelinemouth Branch,349 Ronald Plains,Lake Edward,IL,35317,,2020-01-15,66
44,North Brian Branch,947 Taylor Hollow Suite 488,Kimton,PA,57127,,2018-06-22,23
45,Cassandratown Branch,99049 Kathryn Extensions,Stonemouth,NY,36959,,2009-01-23,55
46,Waltersfort Branch,5655 Mia Isle,Steeleport,NY,87347,,2012-10-15,78
47,South Christopherview Branch,68087 Brown Path Suite 977,East Josephberg,OH,38253,,2013-06-06,73
48,Martinezbury Branch,8086 Jeffrey Ville,South Staceyberg,FL,65824,,2018-03-02,48
49,Williamview Branch,7378 Patrick Rapid Apt. 146,Sarahhaven,FL,35519,,2019-12-08,46
50,West Jessicashire Branch,78755 Gibson Islands Apt. 396,Port Kimberly,NC,06221,,2011-05-23,48
